cvastrophoto version 0.1.0 [linux2], Log version 2.5. Log enabled at 2020-10-24 07:56:16


Controller Begins at 2020-10-24 07:56:18
Equipment Profile = default
Mount = N/A, Pier side = N/A
RA Minimum pulse = 50 ms
DEC Minimum pulse = 100 ms
RA Backlash comp, RA pulse = 50 ms, DEC pulse 50 ms
Time,mount,RADuration,RADirection,DECDuration,DECDirection,RADuty,DECDuty,RADriftSpeed,DECDriftSpeed,RAGearstate,DECGearState
2919.182780981064,Mount,336,E,0,,-226754,-12,-0.0016766282264086127,-0.008975174366493262,0,-10539
2919.5238580703735,Mount,336,E,0,,-226419,-15,-0.0016766282264086127,-0.008975174366493262,0,-10539
2919.862293958664,Mount,336,E,0,,-226083,-18,-0.0016766282264086127,-0.008975174366493262,0,-10539
2920.1994371414185,Mount,336,E,0,,-225748,-22,-0.0016766282264086127,-0.008975174366493262,0,-10539
2920.53751206398,Mount,336,E,0,,-225413,-25,-0.0016766282264086127,-0.008975174366493262,0,-10539
2920.8760681152344,Mount,336,E,0,,-225077,-28,-0.0016766282264086127,-0.008975174366493262,0,-10539
2921.2130579948425,Mount,336,E,0,,-224742,-31,-0.0016766282264086127,-0.008975174366493262,0,-10539
2921.550187110901,Mount,336,E,0,,-224406,-34,-0.0016766282264086127,-0.008975174366493262,0,-10539
2921.887330055237,Mount,336,E,0,,-224071,-37,-0.0016766282264086127,-0.008975174366493262,0,-10539
2922.224620103836,Mount,336,E,0,,-223735,-40,-0.0016766282264086127,-0.008975174366493262,0,-10539
2922.5614409446716,Mount,336,E,0,,-223400,-43,-0.0016766282264086127,-0.008975174366493262,0,-10539
2922.8981959819794,Mount,336,E,0,,-223065,-46,-0.0016766282264086127,-0.008975174366493262,0,-10539
2923.235939025879,Mount,336,E,0,,-222729,-49,-0.0016766282264086127,-0.008975174366493262,0,-10539
2923.5729689598083,Mount,336,E,0,,-222394,-52,-0.0016766282264086127,-0.008975174366493262,0,-10539
2923.9099271297455,Mount,336,E,0,,-222058,-55,-0.0016766282264086127,-0.008975174366493262,0,-10539
2924.2470071315765,Mount,336,E,0,,-221723,-58,-0.0016766282264086127,-0.008975174366493262,0,-10539
2924.583858013153,Mount,336,E,0,,-221387,-61,-0.0016766282264086127,-0.008975174366493262,0,-10539
2924.921261072159,Mount,336,E,0,,-221052,-64,-0.0016766282264086127,-0.008975174366493262,0,-10539
2925.2591190338135,Mount,336,E,0,,-220717,-67,-0.0016766282264086127,-0.008975174366493262,0,-10539
2925.5970089435577,Mount,336,E,0,,-220381,-70,-0.0016766282264086127,-0.008975174366493262,0,-10539
2925.934140920639,Mount,336,E,0,,-220046,-73,-0.0016766282264086127,-0.008975174366493262,0,-10539
2926.271199941635,Mount,336,E,0,,-219710,-76,-0.0016766282264086127,-0.008975174366493262,0,-10539
2926.6080751419067,Mount,336,E,0,,-219375,-79,-0.0016766282264086127,-0.008975174366493262,0,-10539
2926.944766998291,Mount,336,E,0,,-219039,-82,-0.0016766282264086127,-0.008975174366493262,0,-10539
2927.281790971756,Mount,336,E,0,,-218704,-85,-0.0016766282264086127,-0.008975174366493262,0,-10539
2927.618798017502,Mount,336,E,0,,-218369,-88,-0.0016766282264086127,-0.008975174366493262,0,-10539
2927.955791950226,Mount,336,E,0,,-218033,-91,-0.0016766282264086127,-0.008975174366493262,0,-10539
2928.293715953827,Mount,336,E,0,,-217698,-94,-0.0016766282264086127,-0.008975174366493262,0,-10539
2928.6317660808563,Mount,336,E,0,,-217362,-97,-0.0016766282264086127,-0.008975174366493262,0,-10539
2928.96915102005,Mount,336,E,100,S,-217027,0,-0.0016766282264086127,-0.008975174366493262,0,-10539
2929.306256055832,Mount,336,E,0,,-216691,-3,-0.0016766282264086127,-0.008975174366493262,0,-10539
2929.643028974533,Mount,336,E,0,,-216356,-6,-0.0016766282264086127,-0.008975174366493262,0,-10539
2929.980901002884,Mount,336,E,0,,-216020,-9,-0.0016766282264086127,-0.008975174366493262,0,-10539
2930.3194789886475,Mount,336,E,0,,-215685,-12,-0.0016766282264086127,-0.008975174366493262,0,-10539
2930.65869307518,Mount,336,E,0,,-215350,-15,-0.0016766282264086127,-0.008975174366493262,0,-10539
2930.9965541362762,Mount,336,E,0,,-215014,-18,-0.0016766282264086127,-0.008975174366493262,0,-10539
2931.3335769176483,Mount,336,E,0,,-214679,-21,-0.0016766282264086127,-0.008975174366493262,0,-10539
2931.670690059662,Mount,336,E,0,,-214343,-24,-0.0016766282264086127,-0.008975174366493262,0,-10539
2932.007858991623,Mount,336,E,0,,-214008,-28,-0.0016766282264086127,-0.008975174366493262,0,-10539
2932.344825029373,Mount,336,E,0,,-213672,-31,-0.0016766282264086127,-0.008975174366493262,0,-10539
2932.681886911392,Mount,336,E,0,,-213337,-34,-0.0016766282264086127,-0.008975174366493262,0,-10539
2933.01930809021,Mount,336,E,0,,-213002,-37,-0.0016766282264086127,-0.008975174366493262,0,-10539
2933.356590986252,Mount,336,E,0,,-212666,-40,-0.0016766282264086127,-0.008975174366493262,0,-10539
2933.693593978882,Mount,336,E,0,,-212331,-43,-0.0016766282264086127,-0.008975174366493262,0,-10539
2934.0309710502625,Mount,336,E,0,,-211995,-46,-0.0016766282264086127,-0.008975174366493262,0,-10539
2934.367824077606,Mount,336,E,0,,-211660,-49,-0.0016766282264086127,-0.008975174366493262,0,-10539
2934.704586982727,Mount,336,E,0,,-211324,-52,-0.0016766282264086127,-0.008975174366493262,0,-10539
2935.042330980301,Mount,336,E,0,,-210989,-55,-0.0016766282264086127,-0.008975174366493262,0,-10539
2935.3805820941925,Mount,336,E,0,,-210654,-58,-0.0016766282264086127,-0.008975174366493262,0,-10539
2935.718667984009,Mount,336,E,0,,-210318,-61,-0.0016766282264086127,-0.008975174366493262,0,-10539
2936.057219028473,Mount,336,E,0,,-209983,-64,-0.0016766282264086127,-0.008975174366493262,0,-10539
2936.3957669734955,Mount,336,E,0,,-209647,-67,-0.0016766282264086127,-0.008975174366493262,0,-10539
