cvastrophoto version 0.1.0 [linux2], Log version 2.5. Log enabled at 2021-07-03 01:40:40


Controller Begins at 2021-07-03 01:40:50
Equipment Profile = default
Mount = N/A, Pier side = N/A
RA Minimum pulse = 30 ms
DEC Minimum pulse = 80 ms
RA Backlash comp, RA pulse = 5 ms, DEC pulse 50 ms
Time,AbsTime,mount,RADuration,RADirection,DECDuration,DECDirection,RADuty,DECDuty,RADriftSpeed,DECDriftSpeed,RAGearstate,DECGearState
8078.986900091171,1625284529.253859,Mount,62,W,0,,0,-63,-0.007241364236911362,-0.0010157706834499948,0,419
8083.619771003723,1625284533.88673,Mount,32,E,0,,0,-68,-0.007198892855806688,-0.0010157706834499948,0,419
8086.651836156845,1625284536.918795,Mount,63,E,0,,0,-71,-0.008336265207654044,-0.0008180368350913729,0,419
8090.631978034973,1625284540.898937,Mount,33,E,0,,0,-74,-0.008169187694009847,-0.0008180368350913729,0,419
8092.24777007103,1625284542.514729,Mount,44,W,0,,0,-76,-0.008010464056047861,-0.0005982226315351524,0,419
8095.77063202858,1625284546.037591,Mount,41,E,0,,0,-78,-0.008553153368778037,-0.0005982226315351524,0,419
8097.789821147919,1625284548.05678,Mount,133,E,0,,0,-79,-0.0096386266973223,-0.0005982226315351524,0,419
8098.926538944244,1625284549.193498,Mount,0,,80,S,-11,0,-0.0096386266973223,-0.0005982226315351524,0,419
8100.928223133087,1625284551.195182,Mount,30,E,0,,0,-1,-0.0096386266973223,-0.0005982226315351524,0,339
8103.462692022324,1625284553.729651,Mount,63,W,102,S,0,0,-0.008247898520072367,-0.0005982226315351524,0,339
8106.933099985123,1625284557.200059,Mount,144,W,0,,0,-2,-0.007280371121231132,-0.0005982226315351524,0,237
8109.080237150192,1625284559.347196,Mount,55,W,117,S,0,0,-0.006361220092331958,-0.0005982226315351524,0,237
8112.414087057114,1625284562.681046,Mount,0,,206,S,-20,0,-0.0054880266148777425,-0.0005982226315351524,0,120
8114.537827968597,1625284564.804787,Mount,50,W,208,S,0,0,-0.004658492811296238,-0.0005982226315351524,0,-85
8118.064147949219,1625284568.331107,Mount,135,W,168,S,0,0,-0.00374452448080126,-0.0005982226315351524,0,-293
8120.199885129929,1625284570.466844,Mount,147,W,162,S,0,0,-0.002876254566831031,-0.0005982226315351524,0,-419
8123.628771066666,1625284573.89573,Mount,79,W,0,,0,-2,-0.001384438064073184,-0.0005982226315351524,0,-419
8125.67555308342,1625284575.942512,Mount,162,W,0,,0,-3,0.0006496763634002577,-0.0005982226315351524,0,-419
8129.154611110687,1625284579.42157,Mount,139,W,0,,0,-5,0.003191285058570725,-0.0005982226315351524,0,-419
8131.2113671302795,1625284581.478326,Mount,83,W,0,,0,-6,0.004996613329911971,-0.0005982226315351524,0,-419
8136.714478969574,1625284586.981438,Mount,31,W,0,,0,-10,0.006094786437832667,-0.0005982226315351524,0,-419
8140.4957139492035,1625284590.762673,Mount,129,E,0,,0,-12,0.00662686255076329,-0.00040477504765210905,0,-419
8142.592102050781,1625284592.859061,Mount,96,E,0,,0,-13,0.005312407010410017,-0.00040477504765210905,0,-419
8149.6721069812775,1625284599.939066,Mount,30,W,0,,0,-15,0.0035510625970101746,-0.00022338883270912676,0,-419
8151.48864197731,1625284601.755601,Mount,89,W,0,,0,-16,0.0030640815294491527,-4.381647991557431e-05,0,-419
8153.545792102814,1625284603.812751,Mount,40,W,0,,0,-16,0.003461202786110068,-4.381647991557431e-05,0,-419
8157.064435005188,1625284607.331394,Mount,54,E,0,,0,-16,0.003838467979937938,-4.381647991557431e-05,0,-419
8159.121605157852,1625284609.388564,Mount,175,E,0,,0,-16,0.0033371166432305276,-4.381647991557431e-05,0,-419
8162.6146359443665,1625284612.881595,Mount,69,W,0,,0,-16,0.0037205861442023746,-4.381647991557431e-05,0,-419
8164.686380147934,1625284614.953339,Mount,32,W,0,,0,-16,0.004028998245033233,-4.381647991557431e-05,0,-419
8168.205395936966,1625284618.472355,Mount,159,E,0,,0,-16,0.0020596870449029257,-4.381647991557431e-05,0,-419
8170.330636024475,1625284620.597595,Mount,160,E,0,,0,-16,-0.000230336809112908,-4.381647991557431e-05,0,-419
8173.757595062256,1625284624.024554,Mount,43,W,0,,0,-17,0.00027562143938371483,-4.381647991557431e-05,0,-419
8175.774090051651,1625284626.041049,Mount,37,W,0,,0,-17,0.0007562817754555065,-4.381647991557431e-05,0,-419
8179.24121594429,1625284629.508175,Mount,101,E,0,,0,-17,-0.0014685718150879564,-4.381647991557431e-05,0,-419
8186.707883119583,1625284636.974842,Mount,44,E,0,,0,-17,-0.0008299924963111439,0.00014608475156136503,0,-419
8192.642848014832,1625284642.909807,Mount,81,W,0,,0,-16,-0.000662134456825626,0.0002239794494313011,0,-419
8196.141304969788,1625284646.408264,Mount,120,W,0,,0,-15,0.00023907237176976493,0.0002239794494313011,0,-419
8198.227262020111,1625284648.494221,Mount,36,W,0,,0,-15,0.0010952188589353864,0.0002239794494313011,0,-419
8203.959439992905,1625284654.226399,Mount,109,E,0,,0,-13,0.0020449758421421512,0.00030109520032253783,0,-419
8207.285655021667,1625284657.552614,Mount,56,W,0,,0,-12,0.0021745727715216045,0.00030109520032253783,0,-419
8212.874345064163,1625284663.141304,Mount,43,E,0,,0,-11,0.000971513554931407,0.00026001841933921026,0,-419
8214.990003108978,1625284665.256962,Mount,105,E,0,,0,-10,-5.6625068304424e-05,0.00026001841933921026,0,-419
8220.679348945618,1625284670.946308,Mount,36,W,0,,0,-9,-0.0005131157603306593,0.0003367737805313679,0,-419
8224.197476148605,1625284674.464435,Mount,42,W,0,,0,-7,-0.00045687944439907064,0.0003367737805313679,0,-419
8229.751417160034,1625284680.018376,Mount,140,W,0,,0,-6,0.0005967706905183349,0.00040748351765731766,0,-419
8231.811596155167,1625284682.078555,Mount,121,W,0,,0,-5,0.0015999438995025982,0.00040748351765731766,0,-419
8235.199560165405,1625284685.466519,Mount,73,E,0,,0,-3,0.0025529584480376484,0.00040748351765731766,0,-419
8240.825289964676,1625284691.092249,Mount,93,W,0,,0,-1,0.004469355206404289,0.00035247094436043807,0,-419
8246.38669514656,1625284696.653654,Mount,68,E,0,,0,0,0.004649215991217654,0.00042302370984809715,0,-419
8248.457733154297,1625284698.724692,Mount,38,W,0,,0,1,0.0049294331795104234,0.00042302370984809715,0,-419
8254.890371084213,1625284705.15733,Mount,32,W,0,,0,4,0.005026009314972651,0.0004928709476808796,0,-419
8260.65920305252,1625284710.926162,Mount,30,W,0,,0,7,0.005456818912974372,0.0007445375098914868,0,-419
8266.459393024445,1625284716.726352,Mount,31,W,0,,0,12,0.005071300562881847,0.001056043341875269,0,-419
8271.291445970535,1625284721.558405,Mount,32,W,0,,0,17,0.0049226017334774285,0.0011953137576228006,0,-419
8274.758064031601,1625284725.025023,Mount,68,W,0,,0,21,0.00532433716940137,0.0011953137576228006,0,-419
8276.828696012497,1625284727.095655,Mount,58,W,0,,0,24,0.005786347878023438,0.0011953137576228006,0,-419
8280.85441994667,1625284731.121379,Mount,31,W,0,,0,29,0.0062252580512144025,0.0011953137576228006,0,-419
8282.356126070023,1625284732.623085,Mount,46,E,0,,0,30,0.00662736912921025,0.0011953137576228006,0,-419
8287.274191141129,1625284737.54115,Mount,32,W,0,,0,51,0.007009374653306305,0.0011953137576228006,0,-419
8287.775337934494,1625284738.042297,Mount,32,W,0,,0,63,0.007372279901197558,0.001333191469212857,0,-419
8291.29339504242,1625284741.560354,Mount,129,E,0,,0,72,0.007448504656067316,0.001333191469212857,0,-419
8293.389167070389,1625284743.656126,Mount,179,E,0,,0,0,0.006399611057327159,0.001333191469212857,0,-419
8296.834947109222,1625284747.101906,Mount,78,E,0,,0,5,0.0050865838033957705,0.001333191469212857,0,-419
8298.915493965149,1625284749.182453,Mount,38,E,0,,0,7,0.0038392079121609512,0.001333191469212857,0,-419
8302.28353214264,1625284752.550491,Mount,0,,110,N,11,0,0.002654200815487873,0.001333191469212857,0,-419
8304.31122994423,1625284754.578189,Mount,0,,215,N,16,0,0.0023292778730108466,0.001333191469212857,0,-309
8307.694072008133,1625284757.961031,Mount,59,W,328,N,0,0,0.0021641025388189888,0.001333191469212857,0,-94
8309.939013004303,1625284760.205972,Mount,43,W,222,N,0,0,0.0021641025388189888,0.001333191469212857,0,233
8315.795247077942,1625284766.062206,Mount,57,W,0,,0,8,0.002492933585548542,0.001333191469212857,0,419
8319.32123708725,1625284769.588196,Mount,0,,108,N,8,0,0.0023195754657297997,0.001333191469212857,0,419
8321.346972942352,1625284771.613932,Mount,126,E,0,,0,77,0.0014103724965449018,0.0014696904036870127,0,419
8323.478543996811,1625284773.745503,Mount,0,,80,N,2,0,0.0014103724965449018,0.0014696904036870127,0,419
8324.843870162964,1625284775.110829,Mount,108,E,0,,0,79,0.0003395813830058109,0.0014696904036870127,0,419
